name,app_price,play_price,total_app_price,avg_app_rating,app_genre,play_genre,app_trader_purchase_price,avg_app_rating_rounded,expected_app_lifespan_years
Flip Football - Soccer Manager Strategy Card Game,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flip Heroes,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flip King,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flip That Bottle,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flipagram,0,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
Flipominos,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
"Flipp - Weekly Ads, Shopping List, and Coupons",0,NULL,NULL,NULL,Shopping,NULL,"$10,000.00 ",NULL,1
Flipped Out – The Powerpuff Girls Match 3 Puzzle / Fighting Action Game,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flippy - Star in famous clips!,0.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
Flippy Bottle Extreme! - Marker Flip Tricky 2K16,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flirty Emoji Pro with Stickers Pack for Texting,1.99,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
FlixBus - bus travel in Europe,0,NULL,NULL,NULL,Travel,NULL,"$10,000.00 ",NULL,1
Flood of Light,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flow Free,0,$0.00 ,$0.00 ,4.4,Games,Puzzle,"$10,000.00 ",4.5,10
Flow Free: Hexes,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
